filter_i,filter_j,corr_CTCF,corr_B2CTCF,corr_B2noCTCF,diff_B2CTCF_vs_CTCF,diff_B2CTCF_vs_B2no,diff_CTCF_vs_B2no
1,30,-0.08676513037290381,-0.0502233438789846,-0.036984803198536524,0.03654178649391922,-0.013238540680448073,-0.04978032717436729
1,31,0.05266048483634446,-0.09699606982954134,0.03386317808350788,-0.1496565546658858,-0.13085924791304923,0.018797306752836578
1,32,-0.0006892370238706815,-0.5520434335807511,-0.11294393233035002,-0.5513541965568804,-0.4390995012504011,0.11225469530647934
1,33,0.03940024757321544,0.0511517925534683,0.09981172713879269,0.01175154498025286,-0.04865993458532439,-0.06041147956557725
1,34,-0.05943077605756629,0.2940623220210644,0.0685415950263639,0.3534930980786307,0.22552072699470052,-0.12797237108393017
1,35,-0.06911319889882385,-0.05496610102851128,-0.025575291468660746,0.01414709787031257,-0.029390809559850534,-0.0435379074301631
1,36,-0.017616367526905596,0.36148503173709445,0.13875014228590102,0.37910139926400005,0.22273488945119344,-0.15636650981280661
1,37,0.11642974304275197,0.26644952847864795,-0.05286468258822167,0.15001978543589597,0.31931421106686964,0.16929442563097363
1,38,-0.05639896833263729,-0.08993172614747909,-0.07718437130083075,-0.033532757814841795,-0.012747354846648337,0.020785402968193457
1,39,-0.03290526292483435,-0.34873421949909866,-0.0023491689790886934,-0.3158289565742643,-0.34638505052000995,-0.03055609394574566
1,40,0.058801561080116777,-0.059490828901831966,-0.004942324588560148,-0.11829238998194874,-0.054548504313271816,0.06374388566867692
1,41,-0.07570450176541828,-0.10874528632160362,0.053715195952090435,-0.03304078455618534,-0.16246048227369406,-0.12941969771750872
1,42,-0.04252120394788386,0.2277784262214809,0.01116999547316584,0.27029963016936476,0.21660843074831507,-0.053691199421049704
1,43,0.02824762132027903,0.2409141253266177,0.02862474457994968,0.21266650400633869,0.21228938074666803,-0.0003771232596706496
1,44,0.053765796339628955,0.3144388891431522,0.14996077404723998,0.26067309280352324,0.16447811509591223,-0.09619497770761103
1,45,0.022291907676160835,-0.4348163996983145,-0.10358803227710485,-0.45710830737447533,-0.33122836742120965,0.12587993995326568
1,46,-0.04729192589746684,-0.11382680182219496,-0.09423394051114986,-0.06653487592472812,-0.019592861311045096,0.04694201461368302
1,47,-0.07670050090513149,0.40391885258959026,0.08452467194370293,0.48061935349472173,0.3193941806458873,-0.16122517284883442
1,48,0.01883661501644308,-0.13645932149411788,-0.06386681132621222,-0.15529593651056095,-0.07259251016790566,0.0827034263426553
1,49,-0.04563624555006254,0.0451434340889428,0.03381740941011357,0.09077967963900535,0.011326024678829233,-0.07945365496017612
1,50,0.009989350137413052,0.2638669971683203,-0.02377787927770495,0.25387764703090726,0.28764487644602527,0.033767229415118005
1,51,0.062492940802454953,-0.04926039342293013,0.0154437572396415,-0.11175333422538508,-0.06470415066257162,0.04704918356281346
1,52,0.049890765981727196,-0.04405726632218264,-0.08466130456075523,-0.09394803230390983,0.04060403823857259,0.13455207054248242
1,53,0.013880364152035961,-0.11087103110249295,0.013510950379764942,-0.12475139525452891,-0.1243819814822579,0.0003694137722710187
1,54,-0.05230707234434789,0.14572677935105843,0.17959019391844236,0.19803385169540633,-0.033863414567383926,-0.23189726626279025
1,55,-0.05463538571008104,-0.05621413990336757,-0.027288388286225224,-0.0015787541932865343,-0.028925751617142347,-0.027346997423855813
1,56,0.10054951954112071,0.3326395377845395,0.1709192829117975,0.23209001824341877,0.16172025487274197,-0.0703697633706768
1,57,-0.007482579557812305,0.059111545644164924,-0.030296836199054912,0.06659412520197723,0.08940838184321984,0.022814256641242606
1,58,-0.1260525229530107,0.22904610598919486,0.08168099045714292,0.35509862894220556,0.14736511553205195,-0.20773351341015361
1,59,-0.11709330539393842,0.4456758526808593,0.14025459230277582,0.5627691580747978,0.3054212603780835,-0.25734789769671423
1,60,-0.1256146507127857,-0.34939590837224904,-0.13035120456922186,-0.22378125765946333,-0.21904470380302718,0.004736553856436149
1,61,0.09148824966236342,0.31048179578788326,0.16767533455016095,0.21899354612551986,0.1428064612377223,-0.07618708488779753
1,62,-0.024773697298802883,0.3318357975009391,-0.03076105175515988,0.356609494799742,0.362596849256099,0.005987354456356998
1,63,-0.0024281628754683365,0.20563046700562282,0.0287237508961903,0.20805862988109117,0.1769067161094325,-0.031151913771658636
1,64,-0.10286329114273896,-0.00022996012840136522,0.010601568121768995,0.1026333310143376,-0.01083152825017036,-0.11346485926450794
1,65,-0.03897177223909575,0.076232855303587,-0.09270449606779398,0.11520462754268276,0.168937351371381,0.053732723828698224
